"","DIM","funcId","ID","runtime","run","f(x)","IID"
"1",5,1,"EMNA",50,1,13.3727075068,33
"2",5,1,"EMNA",100,1,10.9059568176,33
"3",5,1,"EMNA",500,1,10.9059568176,33
"4",5,1,"EMNA",1000,1,10.9059568176,33
"5",5,1,"EMNA",5000,1,10.9059568176,33
"6",5,1,"EMNA",10000,1,10.9059568176,33
"7",5,1,"EMNA",50,2,12.3244303464,33
"8",5,1,"EMNA",100,2,11.1003602239,33
"9",5,1,"EMNA",500,2,10.317713522,33
"10",5,1,"EMNA",1000,2,10.317713522,33
"11",5,1,"EMNA",5000,2,10.317713522,33
"12",5,1,"EMNA",10000,2,10.317713522,33
"13",5,1,"EMNA",50,3,14.7759304424,33
"14",5,1,"EMNA",100,3,12.225237736,33
"15",5,1,"EMNA",500,3,12.225237736,33
"16",5,1,"EMNA",1000,3,12.225237736,33
"17",5,1,"EMNA",5000,3,12.225237736,33
"18",5,1,"EMNA",10000,3,12.225237736,33
"19",5,1,"EMNA",50,4,12.2093345464,33
"20",5,1,"EMNA",100,4,8.9383083599,33
"21",5,1,"EMNA",500,4,8.9383083599,33
"22",5,1,"EMNA",1000,4,8.9383083599,33
"23",5,1,"EMNA",5000,4,8.9383083599,33
"24",5,1,"EMNA",10000,4,8.9383083599,33
"25",5,1,"EMNA",50,5,12.8615064282,33
"26",5,1,"EMNA",100,5,12.8615064282,33
"27",5,1,"EMNA",500,5,12.8615064282,33
"28",5,1,"EMNA",1000,5,12.8615064282,33
"29",5,1,"EMNA",5000,5,12.8615064282,33
"30",5,1,"EMNA",10000,5,12.8615064282,33
"31",5,1,"EMNA",50,6,9.4705218848,33
"32",5,1,"EMNA",100,6,9.4705218848,33
"33",5,1,"EMNA",500,6,9.4705218848,33
"34",5,1,"EMNA",1000,6,9.4705218848,33
"35",5,1,"EMNA",5000,6,9.4705218848,33
"36",5,1,"EMNA",10000,6,9.4705218848,33
"37",5,1,"EMNA",50,7,13.7383080462,33
"38",5,1,"EMNA",100,7,13.7383080462,33
"39",5,1,"EMNA",500,7,13.7383080462,33
"40",5,1,"EMNA",1000,7,13.7383080462,33
"41",5,1,"EMNA",5000,7,13.7383080462,33
"42",5,1,"EMNA",10000,7,13.7383080462,33
"43",5,1,"EMNA",50,8,11.4276401263,33
"44",5,1,"EMNA",100,8,11.4276401263,33
"45",5,1,"EMNA",500,8,11.4276401263,33
"46",5,1,"EMNA",1000,8,11.4276401263,33
"47",5,1,"EMNA",5000,8,11.4276401263,33
"48",5,1,"EMNA",10000,8,11.4276401263,33
"49",5,1,"EMNA",50,9,17.7910321224,33
"50",5,1,"EMNA",100,9,12.7090618247,33
"51",5,1,"EMNA",500,9,12.409313599,33
"52",5,1,"EMNA",1000,9,12.409313599,33
"53",5,1,"EMNA",5000,9,12.409313599,33
"54",5,1,"EMNA",10000,9,12.409313599,33
"55",5,1,"EMNA",50,10,17.5567904827,33
"56",5,1,"EMNA",100,10,13.4749000924,33
"57",5,1,"EMNA",500,10,11.6725502107,33
"58",5,1,"EMNA",1000,10,11.6725502107,33
"59",5,1,"EMNA",5000,10,11.6725502107,33
"60",5,1,"EMNA",10000,10,11.6725502107,33
"61",5,1,"EMNA",50,11,17.7976793344,33
"62",5,1,"EMNA",100,11,14.3516193921,33
"63",5,1,"EMNA",500,11,14.1513970786,33
"64",5,1,"EMNA",1000,11,14.1513970786,33
"65",5,1,"EMNA",5000,11,14.1513970786,33
"66",5,1,"EMNA",10000,11,14.1513970786,33
"67",5,1,"EMNA",50,12,13.8932574501,33
"68",5,1,"EMNA",100,12,11.0541347709,33
"69",5,1,"EMNA",500,12,11.0541347709,33
"70",5,1,"EMNA",1000,12,11.0541347709,33
"71",5,1,"EMNA",5000,12,11.0541347709,33
"72",5,1,"EMNA",10000,12,11.0541347709,33
"73",5,1,"EMNA",50,13,13.5954379747,33
"74",5,1,"EMNA",100,13,13.5954379747,33
"75",5,1,"EMNA",500,13,13.5954379747,33
"76",5,1,"EMNA",1000,13,13.5954379747,33
"77",5,1,"EMNA",5000,13,13.5954379747,33
"78",5,1,"EMNA",10000,13,13.5954379747,33
"79",5,1,"EMNA",50,14,18.4736183424,33
"80",5,1,"EMNA",100,14,11.6966993752,33
"81",5,1,"EMNA",500,14,10.0091854315,33
"82",5,1,"EMNA",1000,14,10.0091854315,33
"83",5,1,"EMNA",5000,14,10.0091854315,33
"84",5,1,"EMNA",10000,14,10.0091854315,33
"85",5,1,"EMNA",50,15,11.9945444604,33
"86",5,1,"EMNA",100,15,11.9945444604,33
"87",5,1,"EMNA",500,15,11.678825021,33
"88",5,1,"EMNA",1000,15,11.678825021,33
"89",5,1,"EMNA",5000,15,11.678825021,33
"90",5,1,"EMNA",10000,15,11.678825021,33
"91",5,1,"EMNA",50,16,11.3741683753,33
"92",5,1,"EMNA",100,16,9.3639172923,33
"93",5,1,"EMNA",500,16,9.3639172923,33
"94",5,1,"EMNA",1000,16,9.3639172923,33
"95",5,1,"EMNA",5000,16,9.3639172923,33
"96",5,1,"EMNA",10000,16,9.3639172923,33
"97",5,1,"EMNA",50,17,12.1401143098,33
"98",5,1,"EMNA",100,17,12.1401143098,33
"99",5,1,"EMNA",500,17,12.1401143098,33
"100",5,1,"EMNA",1000,17,12.1401143098,33
"101",5,1,"EMNA",5000,17,12.1401143098,33
"102",5,1,"EMNA",10000,17,12.1401143098,33
"103",5,1,"EMNA",50,18,7.9729005539,33
"104",5,1,"EMNA",100,18,7.9729005539,33
"105",5,1,"EMNA",500,18,7.9729005539,33
"106",5,1,"EMNA",1000,18,7.9729005539,33
"107",5,1,"EMNA",5000,18,7.9729005539,33
"108",5,1,"EMNA",10000,18,7.9729005539,33
"109",5,1,"EMNA",50,19,12.9600246975,33
"110",5,1,"EMNA",100,19,12.9600246975,33
"111",5,1,"EMNA",500,19,12.9600246975,33
"112",5,1,"EMNA",1000,19,12.9600246975,33
"113",5,1,"EMNA",5000,19,12.9600246975,33
"114",5,1,"EMNA",10000,19,12.9600246975,33
"115",5,1,"EMNA",50,20,13.142565527,33
"116",5,1,"EMNA",100,20,12.9947779921,33
"117",5,1,"EMNA",500,20,12.088535573,33
"118",5,1,"EMNA",1000,20,12.088535573,33
"119",5,1,"EMNA",5000,20,12.088535573,33
"120",5,1,"EMNA",10000,20,12.088535573,33
"121",5,1,"EMNA",50,21,14.0808253348,33
"122",5,1,"EMNA",100,21,13.9923497632,33
"123",5,1,"EMNA",500,21,13.2327646105,33
