"","DIM","funcId","ID","runtime","run","f(x)","IID"
"1",5,1,"RandomSearch",50,1,16.2725161329,9
"2",5,1,"RandomSearch",100,1,7.8257494893,9
"3",5,1,"RandomSearch",500,1,3.6350699714,9
"4",5,1,"RandomSearch",1000,1,3.6350699714,9
"5",5,1,"RandomSearch",5000,1,1.2536295834,9
"6",5,1,"RandomSearch",10000,1,0.9954944943,9
"7",5,1,"RandomSearch",50,2,17.2416190352,9
"8",5,1,"RandomSearch",100,2,8.5328634151,9
"9",5,1,"RandomSearch",500,2,3.2021891394,9
"10",5,1,"RandomSearch",1000,2,3.2021891394,9
"11",5,1,"RandomSearch",5000,2,1.3877859827,9
"12",5,1,"RandomSearch",10000,2,1.3877859827,9
"13",5,1,"RandomSearch",50,3,6.1688333079,9
"14",5,1,"RandomSearch",100,3,6.1688333079,9
"15",5,1,"RandomSearch",500,3,2.706435905,9
"16",5,1,"RandomSearch",1000,3,1.8140987406,9
"17",5,1,"RandomSearch",5000,3,1.0773494524,9
"18",5,1,"RandomSearch",10000,3,1.0773494524,9
"19",5,1,"RandomSearch",50,4,13.5361174816,9
"20",5,1,"RandomSearch",100,4,13.5361174816,9
"21",5,1,"RandomSearch",500,4,4.2678115904,9
"22",5,1,"RandomSearch",1000,4,3.6675087061,9
"23",5,1,"RandomSearch",5000,4,2.629011034,9
"24",5,1,"RandomSearch",10000,4,1.029200646,9
"25",5,1,"RandomSearch",50,5,16.8065088707,9
"26",5,1,"RandomSearch",100,5,9.5664781239,9
"27",5,1,"RandomSearch",500,5,4.1510859915,9
"28",5,1,"RandomSearch",1000,5,4.1510859915,9
"29",5,1,"RandomSearch",5000,5,0.8653764453,9
"30",5,1,"RandomSearch",10000,5,0.6031490858,9
"31",5,1,"RandomSearch",50,6,7.4537924706,9
"32",5,1,"RandomSearch",100,6,7.4537924706,9
"33",5,1,"RandomSearch",500,6,3.6782996798,9
"34",5,1,"RandomSearch",1000,6,3.080092865,9
"35",5,1,"RandomSearch",5000,6,0.9235008943,9
"36",5,1,"RandomSearch",10000,6,0.9235008943,9
"37",5,1,"RandomSearch",50,7,12.2060859473,9
"38",5,1,"RandomSearch",100,7,12.2060859473,9
"39",5,1,"RandomSearch",500,7,4.2559502913,9
"40",5,1,"RandomSearch",1000,7,4.2559502913,9
"41",5,1,"RandomSearch",5000,7,1.1693003089,9
"42",5,1,"RandomSearch",10000,7,1.1693003089,9
"43",5,1,"RandomSearch",50,8,8.1628765766,9
"44",5,1,"RandomSearch",100,8,8.1628765766,9
"45",5,1,"RandomSearch",500,8,1.4654437673,9
"46",5,1,"RandomSearch",1000,8,1.4654437673,9
"47",5,1,"RandomSearch",5000,8,1.0724090667,9
"48",5,1,"RandomSearch",10000,8,1.0724090667,9
"49",5,1,"RandomSearch",50,9,16.0632992635,9
"50",5,1,"RandomSearch",100,9,16.0632992635,9
"51",5,1,"RandomSearch",500,9,3.3607142921,9
"52",5,1,"RandomSearch",1000,9,3.3607142921,9
"53",5,1,"RandomSearch",5000,9,1.3133388076,9
"54",5,1,"RandomSearch",10000,9,1.3133388076,9
"55",5,1,"RandomSearch",50,10,7.7864090608,9
"56",5,1,"RandomSearch",100,10,5.6344863555,9
"57",5,1,"RandomSearch",500,10,3.5018779926,9
"58",5,1,"RandomSearch",1000,10,1.790688399,9
"59",5,1,"RandomSearch",5000,10,0.6790052969,9
"60",5,1,"RandomSearch",10000,10,0.6790052969,9
"61",5,1,"RandomSearch",50,11,2.2870424346,9
"62",5,1,"RandomSearch",100,11,2.2870424346,9
"63",5,1,"RandomSearch",500,11,2.2870424346,9
"64",5,1,"RandomSearch",1000,11,2.2870424346,9
"65",5,1,"RandomSearch",5000,11,2.1017761828,9
"66",5,1,"RandomSearch",10000,11,1.9552584614,9
"67",5,1,"RandomSearch",50,12,15.2792736549,9
"68",5,1,"RandomSearch",100,12,13.5293522708,9
"69",5,1,"RandomSearch",500,12,1.0237255006,9
"70",5,1,"RandomSearch",1000,12,1.0237255006,9
"71",5,1,"RandomSearch",5000,12,1.0237255006,9
"72",5,1,"RandomSearch",10000,12,1.0237255006,9
"73",5,1,"RandomSearch",50,13,30.8856323912,9
"74",5,1,"RandomSearch",100,13,9.3916338112,9
"75",5,1,"RandomSearch",500,13,1.6594524486,9
"76",5,1,"RandomSearch",1000,13,1.6594524486,9
"77",5,1,"RandomSearch",5000,13,0.543445517,9
"78",5,1,"RandomSearch",10000,13,0.543445517,9
"79",5,1,"RandomSearch",50,14,5.3970015382,9
"80",5,1,"RandomSearch",100,14,5.3970015382,9
"81",5,1,"RandomSearch",500,14,5.3970015382,9
"82",5,1,"RandomSearch",1000,14,2.9375822597,9
"83",5,1,"RandomSearch",5000,14,1.5200034565,9
"84",5,1,"RandomSearch",10000,14,0.6489924688,9
"85",5,1,"RandomSearch",50,15,9.2975803586,9
"86",5,1,"RandomSearch",100,15,9.2975803586,9
"87",5,1,"RandomSearch",500,15,3.640939467,9
"88",5,1,"RandomSearch",1000,15,1.8456431066,9
"89",5,1,"RandomSearch",5000,15,0.9250646769,9
"90",5,1,"RandomSearch",10000,15,0.9250646769,9
"91",5,1,"RandomSearch",50,16,7.7462713644,9
"92",5,1,"RandomSearch",100,16,7.7462713644,9
"93",5,1,"RandomSearch",500,16,5.9637589013,9
"94",5,1,"RandomSearch",1000,16,3.6847480775,9
"95",5,1,"RandomSearch",5000,16,0.9806275939,9
"96",5,1,"RandomSearch",10000,16,0.8032914153,9
"97",5,1,"RandomSearch",50,17,11.2598768852,9
"98",5,1,"RandomSearch",100,17,6.8178470049,9
"99",5,1,"RandomSearch",500,17,4.3637056577,9
"100",5,1,"RandomSearch",1000,17,2.1750147497,9
"101",5,1,"RandomSearch",5000,17,1.7216151528,9
"102",5,1,"RandomSearch",10000,17,1.6517279439,9
"103",5,1,"RandomSearch",50,18,22.6340966636,9
"104",5,1,"RandomSearch",100,18,9.7802716999,9
"105",5,1,"RandomSearch",500,18,3.0028652279,9
"106",5,1,"RandomSearch",1000,18,3.0028652279,9
"107",5,1,"RandomSearch",5000,18,2.0615345313,9
"108",5,1,"RandomSearch",10000,18,0.3959594071,9
"109",5,1,"RandomSearch",50,19,8.0425057637,9
"110",5,1,"RandomSearch",100,19,8.0425057637,9
"111",5,1,"RandomSearch",500,19,3.3559419831,9
"112",5,1,"RandomSearch",1000,19,3.3559419831,9
"113",5,1,"RandomSearch",5000,19,0.7067592914,9
"114",5,1,"RandomSearch",10000,19,0.7067592914,9
"115",5,1,"RandomSearch",50,20,11.2294484756,9
"116",5,1,"RandomSearch",100,20,5.3405721555,9
"117",5,1,"RandomSearch",500,20,4.2488755106,9
"118",5,1,"RandomSearch",1000,20,4.2488755106,9
"119",5,1,"RandomSearch",5000,20,0.9907232272,9
"120",5,1,"RandomSearch",10000,20,0.9907232272,9
"121",5,1,"RandomSearch",50,21,14.8601509563,9
"122",5,1,"RandomSearch",100,21,14.8601509563,9
"123",5,1,"RandomSearch",500,21,1.4013917339,9
"124",5,1,"RandomSearch",1000,21,1.4013917339,9
"125",5,1,"RandomSearch",5000,21,1.4013917339,9
"126",5,1,"RandomSearch",10000,21,1.4013917339,9
"127",5,1,"RandomSearch",50,22,9.5777839509,9
"128",5,1,"RandomSearch",100,22,6.8147202987,9
"129",5,1,"RandomSearch",500,22,1.1931255438,9
"130",5,1,"RandomSearch",1000,22,1.1931255438,9
"131",5,1,"RandomSearch",5000,22,1.1931255438,9
"132",5,1,"RandomSearch",10000,22,1.0577474912,9
"133",5,1,"RandomSearch",50,23,6.2411071515,9
"134",5,1,"RandomSearch",100,23,6.2411071515,9
"135",5,1,"RandomSearch",500,23,3.2980915541,9
"136",5,1,"RandomSearch",1000,23,1.8040305404,9
"137",5,1,"RandomSearch",5000,23,1.8040305404,9
"138",5,1,"RandomSearch",10000,23,1.2576605915,9
"139",5,1,"RandomSearch",50,24,9.6016495683,9
"140",5,1,"RandomSearch",100,24,6.1395404324,9
"141",5,1,"RandomSearch",500,24,4.8453826458,9
"142",5,1,"RandomSearch",1000,24,4.8453826458,9
"143",5,1,"RandomSearch",5000,24,0.8926207915,9
"144",5,1,"RandomSearch",10000,24,0.8926207915,9
"145",5,1,"RandomSearch",50,25,6.4237290511,9
"146",5,1,"RandomSearch",100,25,6.4237290511,9
"147",5,1,"RandomSearch",500,25,2.2002638943,9
"148",5,1,"RandomSearch",1000,25,2.2002638943,9
"149",5,1,"RandomSearch",5000,25,1.4379444929,9
"150",5,1,"RandomSearch",10000,25,1.4379444929,9
"151",5,1,"RandomSearch",50,26,8.4101069262,9
"152",5,1,"RandomSearch",100,26,8.4101069262,9
"153",5,1,"RandomSearch",500,26,3.1986354564,9
"154",5,1,"RandomSearch",1000,26,3.1986354564,9
"155",5,1,"RandomSearch",5000,26,1.533462913,9
"156",5,1,"RandomSearch",10000,26,1.533462913,9
"157",5,1,"RandomSearch",50,27,12.5198214068,9
"158",5,1,"RandomSearch",100,27,12.5198214068,9
"159",5,1,"RandomSearch",500,27,3.7542765813,9
"160",5,1,"RandomSearch",1000,27,2.7762960421,9
"161",5,1,"RandomSearch",5000,27,1.2886289041,9
"162",5,1,"RandomSearch",10000,27,0.8727867968,9
"163",5,1,"RandomSearch",50,28,4.7652149732,9
"164",5,1,"RandomSearch",100,28,1.9601344228,9
"165",5,1,"RandomSearch",500,28,1.9601344228,9
"166",5,1,"RandomSearch",1000,28,1.9601344228,9
"167",5,1,"RandomSearch",5000,28,1.8406786625,9
"168",5,1,"RandomSearch",10000,28,1.4886728961,9
"169",5,1,"RandomSearch",50,29,7.1410766719,9
"170",5,1,"RandomSearch",100,29,7.1410766719,9
"171",5,1,"RandomSearch",500,29,7.1410766719,9
"172",5,1,"RandomSearch",1000,29,1.4741122034,9
"173",5,1,"RandomSearch",5000,29,1.4741122034,9
"174",5,1,"RandomSearch",10000,29,1.3922655229,9
"175",5,1,"RandomSearch",50,30,7.9988608133,9
"176",5,1,"RandomSearch",100,30,7.9988608133,9
"177",5,1,"RandomSearch",500,30,2.1759568136,9
"178",5,1,"RandomSearch",1000,30,2.1759568136,9
"179",5,1,"RandomSearch",5000,30,0.6137998661,9
"180",5,1,"RandomSearch",10000,30,0.6137998661,9
"181",5,1,"RandomSearch",50,31,19.9858952877,9
"182",5,1,"RandomSearch",100,31,9.5387429924,9
"183",5,1,"RandomSearch",500,31,2.3309935183,9
"184",5,1,"RandomSearch",1000,31,2.3309935183,9
"185",5,1,"RandomSearch",5000,31,0.6739812712,9
"186",5,1,"RandomSearch",10000,31,0.6739812712,9
"187",5,1,"RandomSearch",50,32,10.6141327586,9
"188",5,1,"RandomSearch",100,32,3.9965324767,9
"189",5,1,"RandomSearch",500,32,3.9965324767,9
"190",5,1,"RandomSearch",1000,32,3.5785798155,9
"191",5,1,"RandomSearch",5000,32,1.6979135939,9
"192",5,1,"RandomSearch",10000,32,1.6979135939,9
"193",5,1,"RandomSearch",50,33,10.6791037196,9
"194",5,1,"RandomSearch",100,33,10.6791037196,9
"195",5,1,"RandomSearch",500,33,6.4420060762,9
"196",5,1,"RandomSearch",1000,33,4.7724758364,9
"197",5,1,"RandomSearch",5000,33,2.5836619655,9
"198",5,1,"RandomSearch",10000,33,0.5944105418,9
"199",5,1,"RandomSearch",50,34,8.8125745998,9
"200",5,1,"RandomSearch",100,34,0.835657706,9
"201",5,1,"RandomSearch",500,34,0.835657706,9
"202",5,1,"RandomSearch",1000,34,0.835657706,9
"203",5,1,"RandomSearch",5000,34,0.835657706,9
"204",5,1,"RandomSearch",10000,34,0.6923691009,9
"205",5,1,"RandomSearch",50,35,9.8185161161,9
"206",5,1,"RandomSearch",100,35,9.8185161161,9
"207",5,1,"RandomSearch",500,35,2.6624145754,9
"208",5,1,"RandomSearch",1000,35,2.6624145754,9
"209",5,1,"RandomSearch",5000,35,2.0213652148,9
"210",5,1,"RandomSearch",10000,35,0.795943177,9
"211",5,1,"RandomSearch",50,36,10.6545984924,9
"212",5,1,"RandomSearch",100,36,8.0667179793,9
"213",5,1,"RandomSearch",500,36,5.8261116503,9
"214",5,1,"RandomSearch",1000,36,1.6823257326,9
"215",5,1,"RandomSearch",5000,36,1.6823257326,9
"216",5,1,"RandomSearch",10000,36,1.6823257326,9
"217",5,1,"RandomSearch",50,37,7.9138493754,9
"218",5,1,"RandomSearch",100,37,7.9138493754,9
"219",5,1,"RandomSearch",500,37,4.7344940317,9
"220",5,1,"RandomSearch",1000,37,4.0205614106,9
"221",5,1,"RandomSearch",5000,37,1.0255284077,9
"222",5,1,"RandomSearch",10000,37,0.4880497212,9
"223",5,1,"RandomSearch",50,38,8.8032858821,9
"224",5,1,"RandomSearch",100,38,8.8032858821,9
"225",5,1,"RandomSearch",500,38,2.9964304953,9
"226",5,1,"RandomSearch",1000,38,2.9964304953,9
"227",5,1,"RandomSearch",5000,38,0.9882895763,9
"228",5,1,"RandomSearch",10000,38,0.9882895763,9
"229",5,1,"RandomSearch",50,39,29.2821608485,9
"230",5,1,"RandomSearch",100,39,4.1733495775,9
"231",5,1,"RandomSearch",500,39,4.1733495775,9
"232",5,1,"RandomSearch",1000,39,2.5655672482,9
"233",5,1,"RandomSearch",5000,39,2.5655672482,9
"234",5,1,"RandomSearch",10000,39,1.9511919163,9
"235",5,1,"RandomSearch",50,40,16.0240522975,9
"236",5,1,"RandomSearch",100,40,16.0240522975,9
"237",5,1,"RandomSearch",500,40,10.0048869037,9
"238",5,1,"RandomSearch",1000,40,4.8712045053,9
"239",5,1,"RandomSearch",5000,40,1.7033787882,9
"240",5,1,"RandomSearch",10000,40,1.7033787882,9
"241",5,1,"RandomSearch",50,41,6.6435608094,9
"242",5,1,"RandomSearch",100,41,6.6435608094,9
"243",5,1,"RandomSearch",500,41,2.8910178597,9
"244",5,1,"RandomSearch",1000,41,2.8910178597,9
"245",5,1,"RandomSearch",5000,41,1.9443755626,9
"246",5,1,"RandomSearch",10000,41,1.7070156084,9
"247",5,1,"RandomSearch",50,42,27.484795479,9
"248",5,1,"RandomSearch",100,42,5.7218016483,9
"249",5,1,"RandomSearch",500,42,5.7218016483,9
"250",5,1,"RandomSearch",1000,42,5.7218016483,9
"251",5,1,"RandomSearch",5000,42,1.5427807552,9
"252",5,1,"RandomSearch",10000,42,1.5427807552,9
"253",5,1,"RandomSearch",50,43,4.0679530745,9
"254",5,1,"RandomSearch",100,43,4.0679530745,9
"255",5,1,"RandomSearch",500,43,4.0679530745,9
"256",5,1,"RandomSearch",1000,43,1.7298291675,9
"257",5,1,"RandomSearch",5000,43,1.7298291675,9
"258",5,1,"RandomSearch",10000,43,1.7298291675,9
"259",5,1,"RandomSearch",50,44,17.7335586667,9
"260",5,1,"RandomSearch",100,44,4.813111809,9
"261",5,1,"RandomSearch",500,44,4.813111809,9
"262",5,1,"RandomSearch",1000,44,2.8019915289,9
"263",5,1,"RandomSearch",5000,44,1.4069404849,9
"264",5,1,"RandomSearch",10000,44,0.7479049757,9
"265",5,1,"RandomSearch",50,45,4.9222028072,9
"266",5,1,"RandomSearch",100,45,4.9222028072,9
"267",5,1,"RandomSearch",500,45,2.5874242342,9
"268",5,1,"RandomSearch",1000,45,2.5874242342,9
"269",5,1,"RandomSearch",5000,45,1.2401169181,9
"270",5,1,"RandomSearch",10000,45,0.6976985002,9
"271",5,1,"RandomSearch",50,46,12.7325850286,9
"272",5,1,"RandomSearch",100,46,7.6816868997,9
"273",5,1,"RandomSearch",500,46,5.0497515809,9
"274",5,1,"RandomSearch",1000,46,2.6724201376,9
"275",5,1,"RandomSearch",5000,46,1.8853184343,9
"276",5,1,"RandomSearch",10000,46,1.8853184343,9
"277",5,1,"RandomSearch",50,47,4.3811586989,9
"278",5,1,"RandomSearch",100,47,4.3811586989,9
"279",5,1,"RandomSearch",500,47,4.3811586989,9
"280",5,1,"RandomSearch",1000,47,4.1745409404,9
"281",5,1,"RandomSearch",5000,47,1.7214632816,9
"282",5,1,"RandomSearch",10000,47,1.2544485513,9
"283",5,1,"RandomSearch",50,48,2.1994677979,9
"284",5,1,"RandomSearch",100,48,2.1994677979,9
"285",5,1,"RandomSearch",500,48,2.1994677979,9
"286",5,1,"RandomSearch",1000,48,2.1994677979,9
"287",5,1,"RandomSearch",5000,48,1.6808725561,9
"288",5,1,"RandomSearch",10000,48,1.6808725561,9
"289",5,1,"RandomSearch",50,49,6.5579677489,9
"290",5,1,"RandomSearch",100,49,6.5579677489,9
"291",5,1,"RandomSearch",500,49,4.6725857628,9
"292",5,1,"RandomSearch",1000,49,2.0158681818,9
"293",5,1,"RandomSearch",5000,49,1.5755733827,9
"294",5,1,"RandomSearch",10000,49,1.4369646422,9
"295",5,1,"RandomSearch",50,50,12.8336310484,9
"296",5,1,"RandomSearch",100,50,4.4349471205,9
"297",5,1,"RandomSearch",500,50,2.8994972841,9
"298",5,1,"RandomSearch",1000,50,2.8994972841,9
"299",5,1,"RandomSearch",5000,50,2.3686307595,9
"300",5,1,"RandomSearch",10000,50,1.9641129293,9
"301",5,10,"RandomSearch",50,1,49361.8248197692,9
"302",5,10,"RandomSearch",100,1,49361.8248197692,9
"303",5,10,"RandomSearch",500,1,4161.7753312748,9
"304",5,10,"RandomSearch",1000,1,4161.7753312748,9
"305",5,10,"RandomSearch",5000,1,4142.5888294808,9
"306",5,10,"RandomSearch",10000,1,4142.5888294808,9
"307",5,10,"RandomSearch",50,2,18195.3861858161,9
"308",5,10,"RandomSearch",100,2,18195.3861858161,9
"309",5,10,"RandomSearch",500,2,4578.991981313,9
"310",5,10,"RandomSearch",1000,2,4578.991981313,9
"311",5,10,"RandomSearch",5000,2,3614.6612614357,9
"312",5,10,"RandomSearch",10000,2,1996.1768491457,9
"313",5,10,"RandomSearch",50,3,127875.790547691,9
"314",5,10,"RandomSearch",100,3,127875.790547691,9
"315",5,10,"RandomSearch",500,3,32016.276276325,9
"316",5,10,"RandomSearch",1000,3,32016.276276325,9
"317",5,10,"RandomSearch",5000,3,1823.3262338389,9
"318",5,10,"RandomSearch",10000,3,1823.3262338389,9
"319",5,10,"RandomSearch",50,4,17997.2167065822,9
"320",5,10,"RandomSearch",100,4,17997.2167065822,9
"321",5,10,"RandomSearch",500,4,6492.1937759423,9
"322",5,10,"RandomSearch",1000,4,6492.1937759423,9
"323",5,10,"RandomSearch",5000,4,6492.1937759423,9
"324",5,10,"RandomSearch",10000,4,5893.7643756895,9
"325",5,10,"RandomSearch",50,5,122647.075943942,9
"326",5,10,"RandomSearch",100,5,122647.075943942,9
"327",5,10,"RandomSearch",500,5,8412.2499637909,9
"328",5,10,"RandomSearch",1000,5,8412.2499637909,9
"329",5,10,"RandomSearch",5000,5,920.9212866809,9
"330",5,10,"RandomSearch",10000,5,920.9212866809,9
"331",5,10,"RandomSearch",50,6,67284.5372760513,9
"332",5,10,"RandomSearch",100,6,67284.5372760513,9
"333",5,10,"RandomSearch",500,6,20804.1060045709,9
"334",5,10,"RandomSearch",1000,6,16165.3654175383,9
"335",5,10,"RandomSearch",5000,6,3986.0303694453,9
"336",5,10,"RandomSearch",10000,6,1197.7093033922,9
"337",5,10,"RandomSearch",50,7,16566.3313104298,9
"338",5,10,"RandomSearch",100,7,16566.3313104298,9
"339",5,10,"RandomSearch",500,7,16566.3313104298,9
"340",5,10,"RandomSearch",1000,7,16566.3313104298,9
"341",5,10,"RandomSearch",5000,7,4303.2596151342,9
"342",5,10,"RandomSearch",10000,7,3487.8462073833,9
"343",5,10,"RandomSearch",50,8,27718.5335069338,9
"344",5,10,"RandomSearch",100,8,27718.5335069338,9
"345",5,10,"RandomSearch",500,8,20118.9135920072,9
"346",5,10,"RandomSearch",1000,8,20118.9135920072,9
"347",5,10,"RandomSearch",5000,8,10223.6285042625,9
