"","DIM","funcId","ID","runtime","run","f(x)","IID"
"1",5,1,"EMNA",50,1,2.7433980694,30
"2",5,1,"EMNA",100,1,2.7433980694,30
"3",5,1,"EMNA",500,1,2.7433980694,30
"4",5,1,"EMNA",1000,1,2.7433980694,30
"5",5,1,"EMNA",5000,1,2.7433980694,30
"6",5,1,"EMNA",10000,1,2.7433980694,30
"7",5,1,"EMNA",50,2,4.4493500373,30
"8",5,1,"EMNA",100,2,4.4493500373,30
"9",5,1,"EMNA",500,2,4.4493500373,30
"10",5,1,"EMNA",1000,2,4.4493500373,30
"11",5,1,"EMNA",5000,2,4.4493500373,30
"12",5,1,"EMNA",10000,2,4.4493500373,30
"13",5,1,"EMNA",50,3,4.9035338913,30
"14",5,1,"EMNA",100,3,3.1043604818,30
"15",5,1,"EMNA",500,3,3.1043604818,30
"16",5,1,"EMNA",1000,3,3.1043604818,30
"17",5,1,"EMNA",5000,3,3.1043604818,30
"18",5,1,"EMNA",10000,3,3.1043604818,30
"19",5,1,"EMNA",50,4,7.6377211872,30
"20",5,1,"EMNA",100,4,4.5816854401,30
"21",5,1,"EMNA",500,4,4.0190955632,30
"22",5,1,"EMNA",1000,4,4.0190955632,30
"23",5,1,"EMNA",5000,4,4.0190955632,30
"24",5,1,"EMNA",10000,4,4.0190955632,30
"25",5,1,"EMNA",50,5,8.5967014922,30
"26",5,1,"EMNA",100,5,7.4266305607,30
"27",5,1,"EMNA",500,5,6.8679472712,30
"28",5,1,"EMNA",1000,5,6.8679472712,30
"29",5,1,"EMNA",5000,5,6.8679472712,30
"30",5,1,"EMNA",10000,5,6.8679472712,30
"31",5,1,"EMNA",50,6,5.8425861067,30
"32",5,1,"EMNA",100,6,5.1454289521,30
"33",5,1,"EMNA",500,6,4.5563934012,30
"34",5,1,"EMNA",1000,6,4.5563934012,30
"35",5,1,"EMNA",5000,6,4.5563934012,30
"36",5,1,"EMNA",10000,6,4.5563934012,30
"37",5,1,"EMNA",50,7,6.3220882468,30
"38",5,1,"EMNA",100,7,5.7623812077,30
"39",5,1,"EMNA",500,7,5.6166970004,30
"40",5,1,"EMNA",1000,7,5.6166970004,30
"41",5,1,"EMNA",5000,7,5.6166970004,30
