feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,n
"(21, 24, 33, 34, 37, 49, 51, 65, 69, 72, 76)",[-0.42014765 -0.42504601 -0.39964007 -0.43362029 -0.41768338],0.4192274779420625,"('ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_level.mmce_qda_10', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.ratio', 'nbc.nn_nb.cor')",0.01440335553732253,0.011206299937364106,0.005603149968682052,11
"(21, 24, 33, 34, 37, 44, 49, 51, 65, 69, 72, 76)",[-0.41971568 -0.41798775 -0.39008143 -0.42211224 -0.41734522],0.41344846311642297,"('ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.ratio', 'nbc.nn_nb.cor')",0.01516585424550501,0.011799549836917299,0.005899774918458649,12
"(21, 24, 33, 34, 37, 44, 49, 51, 58, 65, 69, 72, 76)",[-0.41597724 -0.41376742 -0.38625556 -0.41797501 -0.41584076],0.40996319657667024,"('ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.ratio', 'nbc.nn_nb.cor')",0.015331403231865185,0.011928352572548692,0.005964176286274346,13
"(21, 24, 33, 34, 37, 44, 49, 51, 58, 65, 69, 72, 76, 77)",[-0.41529557 -0.40905529 -0.38429371 -0.41625333 -0.41176075],0.40733172825367153,"('ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.015168120390679213,0.01180131297485123,0.005900656487425614,14
"(21, 24, 33, 34, 36, 37, 44, 49, 51, 58, 65, 69, 72, 76, 77)",[-0.40977093 -0.40746778 -0.3869281  -0.41114237 -0.40969514],0.4050008651750529,"('ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.01171263687580928,0.009112829406150267,0.004556414703075134,15
"(21, 24, 33, 34, 36, 37, 44, 46, 49, 51, 58, 65, 69, 72, 76, 77)",[-0.40150581 -0.40337265 -0.38844164 -0.4078979  -0.41054297],0.40235219258816646,"('ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.00984074253451507,0.007656432014220236,0.0038282160071101174,16
"(21, 24, 32, 33, 34, 36, 37, 44, 46, 49, 51, 58, 65, 69, 72, 76, 77)",[-0.40186394 -0.40176202 -0.38664992 -0.40635671 -0.40947389],0.4012212925825989,"('ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.010079634862355899,0.007842298361237945,0.0039211491806189725,17
"(2, 21, 24, 32, 33, 34, 36, 37, 44, 46, 49, 51, 58, 65, 69, 72, 76, 77)",[-0.39904152 -0.40035882 -0.38924483 -0.40869435 -0.40292434],0.40005277296822433,"('cm_angle.angle.mean', 'ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.00814616203137249,0.00633799081230603,0.003168995406153015,18
"(2, 21, 24, 32, 33, 34, 35, 36, 37, 44, 46, 49, 51, 58, 65, 69, 72, 76, 77)",[-0.39423257 -0.39746742 -0.3885425  -0.41236934 -0.40052041],0.39862644704908057,"('cm_angle.angle.mean', 'ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.010198274751688977,0.007934604225726054,0.003967302112863027,19
"(2, 21, 24, 32, 33, 34, 35, 36, 37, 44, 46, 49, 51, 58, 65, 69, 70, 72, 76, 77)",[-0.38909505 -0.395877   -0.38591081 -0.41237825 -0.40106984],0.3968661882825042,"('cm_angle.angle.mean', 'ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.012052771545198489,0.009377465734427715,0.004688732867213856,20
"(2, 21, 24, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 69, 70, 72, 76, 77)",[-0.38871695 -0.39492615 -0.38474895 -0.41150235 -0.40030316],0.39603951482012256,"('cm_angle.angle.mean', 'ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.012051812077158594,0.009376719235696393,0.004688359617848196,21
"(2, 21, 24, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 69, 70, 72, 73, 76, 77)",[-0.39067863 -0.39241455 -0.38371669 -0.41053325 -0.39929086],0.3953267952728019,"('cm_angle.angle.mean', 'ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.011664770195154295,0.009075587502412226,0.004537793751206112,22
"(2, 21, 24, 32, 33, 34, 35, 36, 37, 44, 46, 47, 49, 51, 58, 65, 67, 69, 70, 72, 73, 76, 77)",[-0.38958837 -0.39334085 -0.38180006 -0.41010121 -0.39902756],0.39477161003262984,"('cm_angle.angle.mean', 'ela_conv.lin_prob', 'ela_curv.grad_norm.min', 'ela_curv.hessian_cond.nas', 'ela_distr.skewness', 'ela_distr.kurtosis', 'ela_distr.number_of_peaks', 'ela_level.mmce_lda_10', 'ela_level.mmce_qda_10', 'ela_level.mmce_mda_25', 'ela_level.lda_mda_25', 'ela_level.qda_mda_25', 'ela_level.mmce_qda_50', 'ela_level.lda_qda_50', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_w_interact.adj_r2', 'ela_meta.quad_simple.cond', 'ic.h.max', 'ic.eps.s', 'ic.eps.ratio', 'ic.m0', 'nbc.nn_nb.cor', 'nbc.dist_ratio.coeff_var')",0.012197183615534722,0.009489823231301972,0.004744911615650986,23
