,f_id,i_id,cm_angle.dist_ctr2best.mean,cm_grad.mean,disp.ratio_median_02,disp.ratio_median_10,disp.diff_median_10,ela_conv.conv_prob,ela_conv.lin_dev.orig,ela_curv.grad_norm.min,ela_curv.grad_norm.lq,ela_curv.grad_norm.mean,ela_distr.skewness,ela_level.mmce_lda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_local.n_loc_opt.abs,ela_local.basin_sizes.avg_non_best,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.adj_r2,ic.eps.s
0,1,2,0.0005958886833119299,0.007787009927358914,0.0,0.00723786222203498,0.005615018986862824,0.03642351595767213,-0.013193350708287704,-0.3696580749775429,-0.10408439227799392,-0.056009675174426225,0.12785262835571196,0.014823511131816947,0.0,0.013033617449463184,0.0,0.002252190222688467,0.07875082921250555,-0.13693155147933864,0.01855341245665102,-0.5803331616687841
1,1,3,0.008754131371221833,0.006652541186704391,0.002037800318721088,0.014156683325490704,0.006513677783655116,0.03543938499398173,-0.01646926403388877,-0.3819712059516951,-0.10594704537357981,-0.052559729644313755,0.12924553286580806,0.012698214975541583,0.0,0.014311321139561994,0.0,0.0,0.06338027097418569,-0.14396808737219607,0.018855869276734178,-0.5866567305402997
2,1,21,0.004016380167420548,0.010010628316997339,0.0,0.008838932432866348,0.005795839125425263,0.03804490034961493,-0.01585116476461229,-0.37507023432120196,-0.10231227262537068,-0.05334525471357426,0.12415446077889812,0.014389535999669573,-0.004510824420624467,0.01819159994199972,0.0,0.0,0.06822324784706565,-0.13805476797140587,0.014194820239456889,-0.5846151733803417
3,1,22,0.002343912257229121,0.01047311716526573,0.0,0.012291793697655814,0.005728753921082935,0.049827323063064144,-0.013613611540204809,-0.3635358819521789,-0.10879902209172247,-0.0539083524346237,0.12096377541951517,0.011709261659363946,0.0,0.014070195675037579,0.0,-0.0011018468150628354,0.024528524412294576,-0.14340668648297286,0.014524722874182484,-0.6009826401143731
4,1,30,0.0006562542771140364,0.008278965108100573,0.0,0.014420494104947225,0.005735407112515876,0.051347219725714384,-0.015853981793125627,-0.38981754348909786,-0.12828327195638273,-0.06423765029649074,0.10376445923475255,-0.028677167328729724,-0.003724457705469996,0.0061362957885474426,0.0017400018032307234,-0.003901664660714161,0.00819412922814778,-0.12989611913346918,0.0036150495255277974,-0.6222632089545889
5,2,2,-0.01745308334563334,-0.021662269258480506,0.005228344963451236,-0.021398554691557048,-0.025434642610848466,0.07972611481950993,0.012267595369290719,0.5383048992719875,0.47907193162503636,0.11585600243068557,0.0589762778493422,-0.02425458368974577,-0.010435708746047056,-0.09107935798487714,0.0042887526284297265,-0.02293172944209207,-0.03405560878894472,0.12648695287900338,-0.03466320111777372,0.33136344428998177
6,2,3,0.014174295189708556,0.03142483443255807,0.005279688964581546,-0.03725847545889347,0.0,0.00851039190855841,0.0006382284236903033,0.6749877276599191,0.7648275405149331,0.18109127991299334,0.031509079754923744,0.009406618100263532,0.015800798775074582,0.06198153697673416,-0.00033469592875739053,0.0,0.07513248189936841,0.663257134435064,0.009556636421820008,0.2689575349781994
7,2,21,-0.008501993479817786,0.04906310425362285,0.009012543418968203,-0.030783601647275293,0.006148743661140141,-0.10000294595517607,0.0017561446359245663,0.6265326753231533,0.7646871365426938,0.2071174634605483,0.08666227687298184,0.0,0.006620042425914262,0.13133039511716693,0.0,0.0,0.11037767826571568,0.7572147620677224,0.006591726141298759,0.27618855315290336
8,2,22,0.008171644112125396,-0.013053911634372714,0.0034783937107708573,-0.01757075202464797,-0.013148353154136561,0.08714810077939639,0.00886817048240175,0.6239461726885085,0.5447857628215637,0.14698825260113108,0.007242395215275362,-0.025408784664822347,-0.005160543976481087,-0.06518204621180042,0.0,-0.0269398744299076,-0.005252699101340302,0.15460735985404428,-0.012274230960136094,0.3361688541694561
9,2,30,-0.014307167021388213,-0.01707252807114742,0.0,-0.015332509917952184,-0.001391687180403111,0.09625423877076268,0.0033723847124362658,0.6292083354244248,0.602032313266096,0.13593627241568193,0.059092191977021674,-0.0236695354194801,0.04230874850691677,-0.07738514738648254,0.0,-0.020726768666645138,-0.021035131622697385,0.17790801839781856,-0.024697247612939364,0.33225448229554333
