FID,Z_1,Z_2,ela_conv_conv_prob,ela_curv_grad_norm_min,ela_curv_grad_norm_lq,ela_distr_skewness,ela_distr_number_of_peaks,ela_level_lda_qda_10,ela_level_lda_qda_25,ela_meta_lin_simple_adj_r2,ela_meta_quad_w_interact_adj_r2,ic_eps_max,ic_eps_ratio,nbc_nb_fitness_cor,EMNA,PSO,RandomSearch,EMNA_bin,PSO_bin,RandomSearch_bin
F2_I6,0.779830093120603,-3.83521490782759,0.87,0.0056939337882312,0.0099490013309659,0.255545268843365,0.25,0.249469214437367,0.315315315315315,0.898700653276246,0.996262395229436,0.0169177818916067,0.709090909090909,0.670085773835093,6.39315609958214,5.0634775660375,3.65078982503942,0,0,0
F2_I7,0.885033208247593,-3.34762666705045,0.983,0.0055914422111429,0.0092749484248522,0.268431584253419,0.333333333333333,0.181715998501311,0.268191268191268,0.849128169050244,0.999007146014735,0.0045462893062387,0.668181818181818,0.671138347900744,5.77135984288203,4.6008071443277,3.64939209744523,0,0,0
F2_I8,0.828642980530355,-4.00762177698333,0.98,0.0444565651851648,0.0092657157645676,0.266900238760084,0.375,0.286624203821656,0.229142185663925,0.865337335763402,0.998772043658913,0.0057247600837049,0.675,0.689132496330972,6.07380893790983,4.8050078857012,3.62411951855823,0,0,0
F2_I9,2.18079621407621,-3.72897177440138,0.976,0.0120970609242188,0.0093986515928565,0.273343021123383,0.25,0.164012738853503,0.63963963963964,0.771552070548993,0.999368382263952,0.0086683737922477,0.672727272727273,0.67050813341112,5.33652676890779,4.42997241311676,3.63644596669086,0,0,0
F2_I10,0.326509526306704,-3.36082535567438,0.992,0.0174439827727688,0.0094066725406703,0.265992965567577,0.291666666666667,0.194829524166354,0.166023166023166,0.881883506826006,0.998375257766744,0.0051029643360133,0.681818181818182,0.680553473227525,6.20265636154525,4.62101726941128,3.61985137334418,0,0,0
F2_I11,0.122777753059643,-3.27435318371605,0.89,0.0035824480804778,0.0101087350852507,0.261363753562777,0.208333333333333,0.187544232130219,0.2,0.881302905026445,0.996935456769467,0.0137447848204336,0.702272727272727,0.689237782407907,6.26329353879116,4.62081027555332,3.60245430062932,0,0,0
F2_I12,1.62252598460526,-4.55291204897941,0.991,0.0069700583510524,0.0094703209118295,0.265544200197509,0.333333333333333,0.428488708743486,0.253071253071253,0.880496211307344,0.998396820314542,0.014393220344867,0.686363636363636,0.690540347529509,6.29777156126041,5.05556679669416,3.69213451560147,0,0,0
F2_I13,1.07960391972576,-3.12544059931075,0.97,0.0087611766723181,0.0093881273898148,0.296437479690289,0.25,0.14171974522293,0.469287469287469,0.652441681155345,0.998692542786091,0.0090773203899701,0.672727272727273,0.635838452993769,5.24402292850004,4.54565783840976,3.64826873511088,0,0,0
F2_I14,1.98681909639336,-4.01401032854621,0.983,0.0276947020044274,0.0093264553245703,0.271482011568923,0.25,0.247283626826527,0.547911547911548,0.801167045380376,0.999294577528668,0.0072087088869726,0.665909090909091,0.659435040814542,5.56308555983249,4.73953718471475,3.73877213716627,0,0,0
F2_I15,1.61194413252568,-3.68598864174758,0.972,0.0261830512767213,0.0093178079747654,0.296756091218722,0.291666666666667,0.212314225053079,0.545945945945946,0.649192149983213,0.998698225761496,0.0059948363488643,0.675,0.634140087157215,4.53042318836984,3.93227821202126,3.74469035817631,0,0,0
F2_I16,1.37507677012508,-4.13823706564256,0.969,0.0066588416620046,0.0093304614141865,0.266537195973709,0.25,0.353503184713376,0.274131274131274,0.877379693813302,0.998504421330933,0.0030732788337026,0.686363636363636,0.670975883605573,6.25179309543765,4.98662227224527,3.6452890673049,0,0,0
F2_I17,0.86530797592446,-3.26536621896256,0.975,0.0247924013272091,0.0093464315009109,0.27859921158478,0.208333333333333,0.17515923566879,0.469921534437663,0.629750876212087,0.99872057595945,0.0082778508260085,0.681818181818182,0.597506117291448,4.79717501116717,4.20270593822969,3.60952954707182,0,0,0
F2_I18,0.761531787220879,-4.33435649581883,0.9,0.0095950816168921,0.0106286349746353,0.26403074483145,0.375,0.420382165605096,0.117117117117117,0.872573253102395,0.997306302090508,0.0125342365407772,0.7,0.683442285727145,6.22711082504831,4.8452918165816,3.60802496075778,0,0,0
F2_I19,0.59494126232186,-3.6519698688359,0.929,0.0110197987346918,0.0094889951071163,0.270716577576885,0.333333333333333,0.256900212314225,0.191539365452409,0.849743526039631,0.998206517292414,0.0072087088869726,0.690909090909091,0.689164699923138,6.09883707993204,4.78109279383596,3.62392897060686,0,0,0
F2_I20,1.46575036666295,-3.500406753365,0.975,0.012395073312455,0.0093875872471845,0.277100944674742,0.208333333333333,0.207943049831397,0.507921714818267,0.681014187216288,0.999079004196479,0.0072087088869726,0.677272727272727,0.633807980102014,5.18496413701684,4.40232266505294,3.62781801926489,0,0,0
F2_I23,0.156935002907051,-2.56465194945049,0.978,0.0197492852751146,0.0092305146905437,0.279716957493015,0.166666666666667,0.0729830148619957,0.406949806949807,0.572633146358598,0.998452357727719,0.0086683737922477,0.684090909090909,0.608950946820084,4.11475063666369,3.73717908911348,3.65823725741409,0,0,0
F2_I24,0.0368004563306286,-2.58632686029072,0.973,0.0122201093011155,0.009264346114355,0.292194742332235,0.25,0.119426751592357,0.351351351351351,0.490248605270203,0.998999312903482,0.0082778508260085,0.684090909090909,0.573716370461728,5.04815538756803,4.25734862127648,3.58354601316838,0,0,0
F2_I25,0.0706443408833677,-2.5520631378095,0.975,0.0191395747004106,0.0092726465861292,0.293407248192682,0.25,0.083079479368596,0.391891891891892,0.509211811593522,0.998965528691171,0.0079049214801975,0.681818181818182,0.575475893887635,4.07063152887164,3.58054108202139,3.6651107332284,0,0,0
F2_I26,2.59912870040851,-3.81719549238066,0.965,0.0059984166784718,0.009271127923792,0.293886863516181,0.333333333333333,0.16277423920736,0.714594594594595,0.717086921598417,0.998842163203046,0.0090773203899701,0.668181818181818,0.670339269172465,5.15344892819048,4.29180005874879,3.6222301193008,0,0,0
F2_I27,-1.20332847298494,-1.99666251361277,0.969,0.0362066202065736,0.0092689160242582,0.281183148828814,0.125,0.0940938042848871,0.258687258687259,0.337036255024233,0.999106062756152,0.0082778508260085,0.688636363636363,0.519604176905139,5.30111251484291,4.3139059973948,3.61779077704787,0,0,0
F2_I28,0.358127597961656,-3.27745003965627,0.982,0.0058685298718521,0.0092957973902951,0.266469347155966,0.375,0.187544232130219,0.125307125307125,0.873345023841989,0.998605456443313,0.0037807404955658,0.679545454545454,0.69220610470608,6.01131331994298,4.7281930699341,3.63320699300001,0,0,0
F2_I29,1.29474411911668,-3.27718329330002,0.969,0.0082131001078577,0.0092759004044263,0.296474839401932,0.208333333333333,0.189092356687898,0.50990990990991,0.597140131839323,0.99876821877839,0.0047607690682606,0.679545454545454,0.616718015943371,4.38040402126959,3.93347977275415,3.67812546831436,0,0,0
F2_I31,0.282054742237126,-2.91184958902895,0.97,0.0162612051767953,0.0093389531016559,0.278172627908873,0.125,0.194829524166354,0.389507154213036,0.524721243112568,0.998335242450603,0.0119695509062574,0.686363636363636,0.57543851590956,5.24231724831697,4.53475433807255,3.64369397352784,0,0,0
F2_I32,-0.450985100461182,-2.21604466382718,0.973,0.0166902021589886,0.0092739348347469,0.285890165757745,0.208333333333333,0.0940938042848871,0.32046332046332,0.389216327215077,0.999131003382228,0.0075487931369495,0.686363636363636,0.556479117710337,3.87804144281017,3.22201864441344,3.59541606753418,0,0,0
F2_I33,-1.08769885333366,-1.80815355907092,0.964,0.0107866166157212,0.0093954916091799,0.248281504991069,0.166666666666667,0.189092356687898,0.297297297297297,0.0232842094492242,0.998746248078422,0.0064257339729508,0.693181818181818,0.403041825807169,4.80316538740222,3.90621690515961,3.71264751219332,0,0,0
F2_I34,1.14360715351384,-3.81542513584675,0.952,0.0245649893414618,0.009312474636824,0.278585926496494,0.416666666666667,0.224699221514508,0.324324324324324,0.818204369168057,0.99898070921085,0.0065738139926692,0.681818181818182,0.69704696325594,5.99565802949468,4.98443274151218,3.58289912649726,0,0,0
F2_I35,1.23384037852878,-3.66572796905929,0.948,0.0076834663760012,0.0092962877112448,0.276837949093905,0.458333333333333,0.187544232130219,0.323149236192714,0.825797556543111,0.998839831878564,0.0067288799567472,0.686363636363636,0.71226434569687,5.9252614742093,4.82407815252567,3.62147764964844,0,0,0
F2_I36,2.32666136867143,-3.5268240716258,0.974,0.0103749902531371,0.0092702206450213,0.274628511866217,0.208333333333333,0.0940938042848871,0.747747747747748,0.751789901520878,0.999378522736838,0.0065738139926692,0.675,0.655280566414983,4.87103884205472,3.77981696309686,3.68707057778351,0,0,0
F2_I37,0.817575065093378,-3.66823679319476,0.987,0.0240548946543048,0.0094008196736702,0.266289024767076,0.25,0.227176220806794,0.284823284823285,0.878921015001107,0.998466369574013,0.003370094523295,0.681818181818182,0.658319268959065,6.18159840209944,4.67174950513907,3.57728040797603,0,0,0
F2_I38,-1.10931357625124,-1.7853121016035,0.976,0.0185448117065228,0.009308764374962,0.255676304553313,0.125,0.134093194770365,0.344594594594595,0.11479404573356,0.998186711621086,0.0137447848204336,0.686363636363636,0.412060351354273,5.11878066495115,4.02373849310546,3.60731877582074,0,0,0
F2_I39,1.1166879275103,-3.73375557992425,0.979,0.0164688475885125,0.0092760861225242,0.267978909977129,0.333333333333333,0.24203821656051,0.297297297297297,0.854609893729372,0.998941150034837,0.0057247600837049,0.672727272727273,0.673245211424316,5.77868704727196,4.59883329314855,3.65704133528723,0,0,0
F2_I40,-0.470627822774089,-2.11867633925499,0.964,0.0162716008571554,0.0093135069698543,0.270810922659779,0.125,0.119426751592357,0.351351351351351,0.301678189573085,0.998081857098864,0.0095055597875125,0.688636363636363,0.553029833918859,3.00948273491081,2.42044235976967,3.61509705221101,0,0,0
F2_I41,-0.884491099795619,-1.85384143384056,0.971,0.0149096652293711,0.0093108280793909,0.260642653130359,0.166666666666667,0.134093194770365,0.319554848966614,0.156396142630693,0.998155973502236,0.0088728470911089,0.684090909090909,0.46294519554228,3.71148794964895,2.9334547040033,3.66388758200936,0,0,0
F2_I42,0.158517598955313,-3.32420870682364,0.874,0.0337416681453226,0.010519691320285,0.257476199370059,0.25,0.0934182590233546,0.351351351351351,0.892793967564539,0.996480874503713,0.0169177818916067,0.706818181818182,0.68081603742207,6.36909191859714,5.04208415146578,3.69019700914596,0,0,0
F2_I43,1.5909793125015,-4.16051212013282,0.985,0.0223536085799189,0.0093844084677628,0.270330223664117,0.25,0.338069573738364,0.378378378378378,0.828079078182098,0.999172216662862,0.0062776539532324,0.670454545454545,0.650701265071375,5.57913459389995,4.5760749473104,3.68477950754321,0,0,0
F2_I44,-1.27239553581738,-1.77766133454203,0.97,0.0133438201532329,0.0092689660363595,0.249883493380265,0.166666666666667,0.189092356687898,0.259459459459459,0.0338094778058959,0.99883042473897,0.0072087088869726,0.693181818181818,0.401898185678565,4.56641355215185,3.40954400022053,3.64007718149337,0,0,0
F2_I45,1.24150481199262,-3.25454672678478,0.97,0.0234834677444843,0.0092711216188825,0.296778848326661,0.291666666666667,0.119426751592357,0.545945945945946,0.643135398138719,0.998702487994475,0.0057247600837049,0.675,0.617930482044375,4.40697922101443,3.93474619995611,3.53288153869866,0,0,0
F2_I46,1.07555466134545,-3.83888682695644,0.98,0.0052400358833935,0.0092963981924079,0.266928470842453,0.25,0.302547770700637,0.248933143669986,0.871113789380455,0.998657956482554,0.0036104124280852,0.681818181818182,0.65934865191645,6.04103203637305,4.76099689384689,3.61702926291901,0,0,0
F2_I47,0.205928541346756,-2.64496040801509,0.978,0.0109613192808181,0.0093419534193086,0.279694980751698,0.208333333333333,0.106157112526539,0.369369369369369,0.5683547292437,0.99844498376797,0.0090773203899701,0.684090909090909,0.602173758872363,4.02655168053112,3.61490436218313,3.5446950619543,0,0,0
F2_I48,1.38633057762818,-3.36420741381078,0.972,0.0210544730306203,0.0092813457725181,0.296621439146925,0.25,0.150389242745931,0.545945945945946,0.658013983107621,0.998695773819666,0.0057247600837049,0.675,0.632698739688958,4.44866985458546,3.71017732092508,3.57903321352657,0,0,0
F2_I49,-1.27626987251029,-1.96853436516497,0.969,0.0374555069180723,0.0092815601864955,0.28115639975881,0.125,0.0940938042848871,0.238329238329238,0.335725885814262,0.999105941492345,0.0082778508260085,0.688636363636363,0.530553414266137,5.22190648723834,4.28051347604957,3.59295302533097,0,0,0
F2_I50,-1.19622042099698,-1.74002358073818,0.973,0.0187519296774054,0.0092713466394625,0.255200429965373,0.0833333333333333,0.168602472836268,0.277382645803698,0.0995138404688388,0.998231058432525,0.0070463274038989,0.684090909090909,0.439868984511021,4.92506972054378,4.05318288552674,3.53244596696712,0,0,0
F3_I1,1.96297501039784,0.227641379296371,0.914,9.11621596137559e-06,5.96761773072024e-07,0.239468897483908,0,0.145826349312772,0.338632750397456,0.606889076880561,0.984257901924277,1.49833200608342e-07,0.136363636363636,0.471301430173278,1.7124321805318,1.78016281141484,1.52498402026694,0,0,0
F3_I4,1.56264338114131,0.216469288058647,0.925,1.09616250159484e-05,5.38716221862533e-07,0.229720386397928,0,0.0859872611464968,0.219741480611046,0.844503943883124,0.993808943113454,1.49833200608342e-07,0.145454545454546,0.498267985132796,2.07738393099508,1.93505335930101,1.52698140507235,0,0,0
F3_I5,1.98196065866686,-0.370467529496692,0.972,9.91446828309272e-06,7.37859318893607e-07,0.337452834238813,0.5,0.0859872611464968,0.210340775558167,0.607370767282914,0.989251468794964,2.52876345678491e-07,0.204545454545455,0.603377523254637,1.92433604365731,1.85918859214439,1.55772382597939,0,0,0
