feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err,n
"(70,)",[-0.32330181 -0.34377103 -0.35359686 -0.36679085 -0.38059231],0.35361057371228755,"('ic.eps.s',)",0.025167895393271127,0.01958147765209088,0.00979073882604544,1
"(20, 70)",[-0.21447087 -0.21220161 -0.20355258 -0.20832915 -0.22069457],0.21184975588770572,"('ela_conv.conv_prob', 'ic.eps.s')",0.007416082379434941,0.005769964039893285,0.0028849820199466423,2
"(20, 25, 70)",[-0.16498077 -0.18092032 -0.15855011 -0.16849502 -0.14926251],0.1644417476923032,"('ela_conv.conv_prob', 'ela_curv.grad_norm.lq', 'ic.eps.s')",0.013521644394541982,0.010520298713655394,0.005260149356827697,3
"(20, 25, 60, 70)",[-0.16086871 -0.16058726 -0.14113858 -0.14347701 -0.13091635],0.14739758235731645,"('ela_conv.conv_prob', 'ela_curv.grad_norm.lq', 'ela_meta.lin_simple.adj_r2', 'ic.eps.s')",0.015006738705302579,0.011675752540961941,0.005837876270480971,4
"(20, 25, 33, 60, 70)",[-0.16051041 -0.15043747 -0.13357226 -0.13817905 -0.13800272],0.14414038175321156,"('ela_conv.conv_prob', 'ela_curv.grad_norm.lq', 'ela_distr.skewness', 'ela_meta.lin_simple.adj_r2', 'ic.eps.s')",0.01275646598695375,0.009924963916926328,0.004962481958463164,5
"(20, 25, 33, 42, 60, 70)",[-0.15456777 -0.15023265 -0.13428209 -0.13654132 -0.12808244],0.14074125313898864,"('ela_conv.conv_prob', 'ela_curv.grad_norm.lq', 'ela_distr.skewness', 'ela_level.mmce_lda_25', 'ela_meta.lin_simple.adj_r2', 'ic.eps.s')",0.012864021130820233,0.010008645472856192,0.005004322736428096,6
"(20, 24, 25, 33, 42, 60, 70)",[-0.1461827  -0.13740926 -0.14952227 -0.1357006  -0.12886746],0.13953645791900043,"('ela_conv.conv_prob', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_distr.skewness', 'ela_level.mmce_lda_25', 'ela_meta.lin_simple.adj_r2', 'ic.eps.s')",0.009565801867494195,0.007442518834639886,0.003721259417319943,7
"(10, 20, 24, 25, 33, 42, 60, 70)",[-0.1430597  -0.14170963 -0.15069869 -0.1273716  -0.12409656],0.13738723547575732,"('disp.ratio_median_10', 'ela_conv.conv_prob', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_distr.skewness', 'ela_level.mmce_lda_25', 'ela_meta.lin_simple.adj_r2', 'ic.eps.s')",0.012917137455773813,0.010049971778206213,0.005024985889103106,8
"(0, 10, 20, 24, 25, 33, 42, 60, 70)",[-0.14100363 -0.13886426 -0.14805985 -0.12648555 -0.12317957],0.1355185717207375,"('cm_angle.dist_ctr2best.mean', 'disp.ratio_median_10', 'ela_conv.conv_prob', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_distr.skewness', 'ela_level.mmce_lda_25', 'ela_meta.lin_simple.adj_r2', 'ic.eps.s')",0.011952645787205039,0.009299564493107728,0.004649782246553863,9
"(0, 10, 20, 24, 25, 26, 33, 42, 60, 70)",[-0.14175468 -0.13620458 -0.1459049  -0.1255939  -0.12167203],0.13422601641990276,"('cm_angle.dist_ctr2best.mean', 'disp.ratio_median_10', 'ela_conv.conv_prob', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_curv.grad_norm.mean', 'ela_distr.skewness', 'ela_level.mmce_lda_25', 'ela_meta.lin_simple.adj_r2', 'ic.eps.s')",0.011906925356127682,0.00926399244445623,0.004631996222228115,10
"(0, 10, 20, 24, 25, 26, 33, 42, 58, 60, 70)",[-0.14073915 -0.13656972 -0.14259268 -0.12792286 -0.12390285],0.13434545036135787,"('cm_angle.dist_ctr2best.mean', 'disp.ratio_median_10', 'ela_conv.conv_prob', 'ela_curv.grad_norm.min', 'ela_curv.grad_norm.lq', 'ela_curv.grad_norm.mean', 'ela_distr.skewness', 'ela_level.mmce_lda_25', 'ela_local.basin_sizes.avg_non_best', 'ela_meta.lin_simple.adj_r2', 'ic.eps.s')",0.009341883578673197,0.0072683027986969245,0.0036341513993484627,11
