f_id,i_id,EMNA,PSO,RandomSearch
1,1,0.6185145873294136,0.6663147718647711,0.3939988611211915
1,4,1.1956254460117686,1.0136637229953462,0.3696972289482997
1,5,1.122406508902931,0.958500167539212,0.4011202820739561
1,6,0.8862464738738627,0.8974214095796192,0.4144787996548177
1,7,0.6663782041573642,0.612219501631716,0.3889912426488977
1,8,1.192787461288,1.011495153257285,0.4060458839316336
1,9,1.1741226048319606,1.0041035539306955,0.3848884637975867
1,10,0.9310237210978214,0.9174467418354167,0.3954612997731502
1,11,1.2532610459876432,1.027968792953799,0.3986366726301465
1,12,1.2115981325407514,1.0302766529837333,0.4064113171621116
1,13,1.03465513035122,0.9121019654092082,0.4178668780609973
1,14,0.5767226125712326,0.6315714610291949,0.4056749497637607
1,15,1.2406717190898018,1.0693184718307278,0.4116340706081811
1,16,0.8224638288530557,0.803467497271779,0.4101824435537157
1,17,1.1282311351338434,0.9756583923064426,0.3895926946275245
1,18,1.2099463203218432,0.9965063080300368,0.4007283910308872
1,19,0.8213053292536016,0.8711042245889337,0.4020742676492905
1,20,1.1851739923752558,0.9952236940477032,0.4136590508501601
1,23,0.8879777738741873,0.8474874613865204,0.4272244986981777
1,24,0.7522470267948048,0.844438081900106,0.3805721164257725
1,25,0.6200003359772797,0.7028307975288852,0.4006454245854041
1,26,1.2958715662613147,1.0994997717268085,0.4033607882680037
1,27,1.0444070584738394,0.9426697446394592,0.400593757668841
1,28,1.029366095658361,0.9640589467001665,0.3958377977590029
1,29,0.8214343686241108,0.8511352440511537,0.3959608751747769
1,31,1.0033050586803955,0.947825564741805,0.3685790407951466
1,32,1.080092270317954,0.959090556281946,0.3906566926099988
1,33,1.0930242497699938,0.980238386948255,0.387349990941515
1,34,0.878665851361363,0.8210002125198489,0.3896702405350749
1,35,0.9302792662281972,0.9112164191182394,0.4053851369202303
1,36,0.9311051076544988,0.8357688247168117,0.40654368149622
1,37,1.1282781606598296,1.0197436999273606,0.4137983668793366
1,38,0.8324890318793149,0.8263249964627604,0.3985037600243543
1,39,1.0405451352314743,0.9538519299540726,0.3878933753910444
1,40,1.4449661022565106,1.1132951790327663,0.4070846012138497
1,42,1.2055819103213683,1.0034319915406098,0.3951965210850227
1,43,1.388896820327303,1.1024641876116723,0.3789227268402663
1,44,1.136118606041523,0.9379409919633802,0.4356092500914924
1,46,1.0808974587687368,0.9218182683380084,0.3864122649069949
1,47,1.065738366727883,0.997545193862241,0.3565043924539876
1,48,0.8229192239628711,0.8576499955375392,0.4109639552727806
1,49,1.2645754849062287,1.0240155758102103,0.4099341570401559
1,50,1.1514857512739771,0.9521944146808976,0.4077790965555363
